epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.82,1.19532,1.51828,1.23152,0.69505,0.60124,0.68685,0.51352,1.05596,0.98224,1.09749,1.785e-05,1.785e-05,1.785e-05
2,190.761,1.1863,1.3381,1.19817,0.66661,0.60252,0.69282,0.51724,1.05246,0.96513,1.09464,3.32379e-05,3.32379e-05,3.32379e-05
3,241.406,1.11325,1.37887,1.22098,0.67984,0.60786,0.6889,0.51925,1.04683,0.95423,1.0898,4.48559e-05,4.48559e-05,4.48559e-05
4,308.132,1.12618,1.23355,1.17844,0.70694,0.60514,0.69012,0.52484,1.05038,0.94427,1.09077,5.27039e-05,5.27039e-05,5.27039e-05
5,382.117,1.1124,1.15525,1.16148,0.72755,0.616,0.69949,0.5323,1.044,0.932,1.08569,5.6782e-05,5.6782e-05,5.6782e-05
6,401.978,1.14242,1.22848,1.1647,0.76045,0.60369,0.70492,0.53585,1.03815,0.925,1.07994,5.70903e-05,5.70903e-05,5.70903e-05
7,406.748,1.1266,1.1645,1.18998,0.74712,0.60736,0.7039,0.53859,1.02744,0.9103,1.07263,4.8314e-05,4.8314e-05,4.8314e-05
8,411.705,1.11568,1.13678,1.17207,0.71915,0.62643,0.70808,0.54001,1.02063,0.90157,1.07011,3.6533e-05,3.6533e-05,3.6533e-05
9,416.904,1.07924,1.11304,1.15973,0.73787,0.63906,0.71533,0.54717,1.01553,0.89061,1.06854,2.4752e-05,2.4752e-05,2.4752e-05
10,421.902,1.10027,1.10403,1.14229,0.75831,0.62326,0.71763,0.54829,1.0112,0.88612,1.06668,1.2971e-05,1.2971e-05,1.2971e-05
